sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria	pedido_med_abril	pedido_max_abril	media_5_dias	estoque_ideal_max	estoque_ideal_med	estoque_ideal_min	dias_estoque_max	dias_estoque_med	dias_estoque_min	posicoes_max	posicoes_med	posicoes_min	estoque_atual	posicao_atual	status_condicional
01.06.0024	PAO DE CALABRESA 500 GRMS - 3 KILOS	30x49x30	0.0441	4.29	8X5=40	40	D	2	2	2	8	6	4	4	3	2	1	1	1	20	1	Verde
01.06.0058	PÃO ITALIANO FILÃO 720 G 7 UNIDADES	49X39X30	0.05733	10.45	LASTRO 10x7 = 70	70	D	2	2	0	0	0	0	4	3	2	1	1	1	6	1	Verde
01.06.0059	PAO ITALIANO BOLA 720G - 7 UNIDADES	49X39X30	0.05733	10.45	LASTRO 10x7 = 70	70	D	2	2	0	0	0	0	4	3	2	1	1	1	0	1	Verde
01.09.0007	CIABATTA HOMEBAKE TRADICIONAL 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	28	121	39	347	231	154	9	6	4	9	6	4	832	21	Excedido
01.09.0008	CIABATTA HOMEBAKE COM GRAOS 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	23	120	26	234	156	104	9	6	4	6	4	3	800	20	Excedido
01.09.0009	MINI PAO ITALIANO HOMEBAKE 4,2KG - 14 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	12	80	15	138	92	61	9	6	4	3	2	2	248	6	Excedido
01.09.0010	MINI BAGUETE LANCHE HOMEBAKE 3,6KG - 12 UNIDADES 300G	30x49x30	0.0441	4.29	8X5=40	40	C	18	58	29	259	173	115	9	6	4	6	4	3	1068	27	Excedido
01.09.0012	PAO FRANCES HOMEBAKE 3,24KG - 12 UNIDADES 270G	30x49x30	0.0441	3.24	10x4=40	40	C	50	86	41	373	248	166	9	6	4	9	6	4	872	22	Excedido
01.10.0003	CIABATTA TRADICINAL LEVIASSA 220G	30x49x30	0.0441	4.4	8x5=40	40	C	25	189	51	459	306	204	9	6	4	11	8	5	111	3	Vermelho
01.10.0004	CIABATTA COM GRAOS LEVIASSA	30x49x30	0.0441	4.4	5x8=40	40	D	8	44	17	68	51	34	4	3	2	2	1	1	158	4	Excedido
