sku	descricao	medida_cx	cubagem	peso_cx	padrao_plt	conversao	categoria
02.02.0032	MASSA CONGELADA DE CROISSANT DE 3 QUEIJOS - 11KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D
02.02.0033	MASSA CONGELADA DE CROISSANT DE CHOCOLATE - 12KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D
02.02.0034	MASSA CONG. DE CROISSANT DE FG COM REQUEIJAO - 12KG	31X39X23	0.027807		LASTRO 10x7 = 70	70	D
02.02.0035	MASSA CONG. DE CROISSANT DE QJ E PRESUNTO FATIADO - 12KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.02.0036	MASSA CONGELADA DE CROISSANT SEM RECHEIO 12KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.02.0038	EMPANADA DE CARNE 80G - CX 2.400 - PCT 30 UN	PCT			12X9 = 108	108	C
02.02.0044	RISOLES LAMINADO DE PRESUNTO E QUEIJO FRITO 150G	CX			12X8 = 96	96	C
02.02.0045	RISOLES DE CARNE EMPANADA COM LINHAÇA 150G - FRITO	CX			12X8 = 96	96	C
02.02.0046	EMPADA DE FRANGO MASSA TUNG C/ 12 UND CAIXA C/ 6 PCTS	CX			12X8 = 96	96	D
02.02.0047	COXINHA PAULISTA DE FRANGO COM REQUEIJÃO FRITA 150G	CX			12X8 = 96	96	D
02.02.0048	COXINHA PAULISTA DE FRANGO EMPANADA COM ORÉGANO FRITA 150G	CX			12X8 = 96	96	D
02.02.0049	BIG COXINHA PAULISTA DE FRANGO COM REQUEIJÃO FRITA 240G	CX			12X8 = 96	96	D
02.03.0001	PAO DE SONHO CONGELADO - CX 2,5KG	PCT			10X7 = 70	70	C
02.03.0013	PAO DE MINI SONHO CONGELADO - 100 UN - CX 2,5KG	CX			10X8 = 80	80	D
02.03.0039	BAGUETE CALABRESA COM CEBOLA CARAMELIZADA 140G	CX			10X12 = 120	120	C
02.03.0042	BAGUETE PARMESAO PERNIL - CX 10UN	25x26x17	0.01105	1.8	16x10=160	160	C
02.03.1003	MASSA CONGELADA DE FILAO DE LEITE CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D
02.03.1004	MASSA CONGELADA DE BISNAGUINHA CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D
02.03.1005	MASSA CONGELADA DE BENGALA CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D
02.03.1006	MASSA CONGELADA TATUZÃO CAIXA 4X2,5KG 10KG	CX			10X7 = 70	70	D
02.03.1007	MASSA CONGELADA TATU CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1008	MASSA CONGELADA ROSCA CARACOL CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1009	MASSA CONG. ROSCA TRANÇADA GRANDE CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	D
02.03.1010	MASSA CONGELADA DE PÃO DE MILHO CAIXA 4X2,5KG 10KG	30x39x23	0.027807	10.45	LASTRO 10x7 = 70	70	C
