FILIAL	SEQ. SKU(s)	DESCRIÇÃO	EAN	UND EAN	DUN	UND DUN
201	01.04.0064	MASSA CONGELADA DE BISCOITO PALITO 3 QUEIJOS 45G – CX 10 KG – 5 UN DE 2 KG	7898694173109	PT	17898694173106	CAIXA
201	01.04.0066	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE REQUEIJÃO 65G – CX 10 KG – 5 UN DE 2 KG	7898694173796	PT	17898694173793	CAIXA
201	01.04.0067	MASSA CONGELADA DE PÃO DE QUEIJO RECHEADO DE GOIABADA 65G – CX 10 KG – 5 UN DE 2 KG	7898694173857	PT	17898694173854	CAIXA
201	01.06.0001	CIABATTA TRADICIONAL - 10UN - PCT 1 KG - CX 4 KG	7898694171501	PT	27898694171505	CAIXA
201	01.06.0002	CIABATTA MULTIGRAOS - 10UN - PCT 1 KG - CX 4 KG	7898694173178	PT	17898694173175	CAIXA
201	01.06.0022	PAO DE AZEITONA 500G - PCT 3 KG - CX 6 KG	7898694173611	PT	17898694173618	CAIXA
201	01.06.0024	PAO DE CALABRESA 500G - PCT 3 KG - CX 6 KG	7898694171013	PT	17898694171010	CAIXA
201	01.06.0027	PAO DE 3 CHOCOLATES - 10 UN - PCT 3 KG - CX 6 KG	7898694171488	PT	27898694171482	CAIXA
201	01.06.0030	MINI BAGUETE RUSTICA TRADICIONAL - CX 5KG - 2 UN DE 2,5KG	7898694170634	PT	17898694170631	CAIXA
201	01.06.0034	BAGUETE FRANCESA COM GRAOS - 6KG	7898694170436	PT	17898694170433	CAIXA
201	01.09.0007	CIABATTA HOMEBAKE TRADICIONAL 3,6KG - 12 UNIDADES 300G	7898694170009	PT	17898694170006	CAIXA
201	01.09.0008	CIABATTA HOMEBAKE COM GRAOS 3,6KG - 12 UNIDADES 300G	7898694170016	PT	17898694170013	CAIXA
201	01.09.0009	MINI PAO ITALIANO HOMEBAKE 4,2KG - 14 UNIDADES 300G	7898694170047	PT	27898694170041	CAIXA
201	01.09.0010	MINI BAGUETE LANCHE HOMEBAKE 3,6KG - 12 UNIDADES 300G	7898694170054	PT	27898694170058	CAIXA
201	01.09.0011	PAO DE HAMBURGUER HOMEBAKE CROC 3,12KG - 12 UNIDADES 260G	7898694170061	PT	17898694170068	CAIXA
201	01.09.0012	PAO FRANCES HOMEBAKE 3,24KG - 12 UNIDADES 270G	7898694171884	PT	17898694171881	CAIXA
201	01.10.0003	CIABATTA TRADICIONAL LEVIASSA 220 G	7898694172621	PT	17898694172628	CAIXA
201	01.10.0004	CIABATTA COM GRAOS LEVIASSA 220G	7898694173703	PT	17898694173700	CAIXA
201	01.10.0005	MINI PAO ITALIANO LEVIASSA 240G	7898694172638	PT	27898694172632	CAIXA
201	01.10.0006	MINI BAGUETE FRANCESA LEVIASSA - 240 G	7898694173505	PT	17898694173502	CAIXA
201	01.10.0013	MINI BAGUETE FRANCESA LEVIASSA - PT 0,240 KG - CX 2,88 KG - 12 UN	7898694173505	PT	27898694173509	CAIXA
201	01.06.0058	PAO ITALIANO FILAO - CX 5,04 KG - 7 UN DE 720G	7898694171655	PT	27898694171659	CAIXA
201	01.06.0059	PAO ITALIANO BOLA - CX 5,04KG - 7 UN DE 720G	7898694171662	PT	17898694171669	CAIXA
